profileID,respID,qID,altID,obsID,upfront,discount,window,guaranteed,lv_2_charger_No,lv_2_charger_Yes,no_choice
124,4,7,2,31,100,50,2,50,0,1,0
0,4,7,3,31,0,0,0,0,0,0,1
151,4,8,1,32,100,25,0.5,75,1,0,0
38,4,8,2,32,300,10,2,25,1,0,0
0,4,8,3,32,0,0,0,0,0,0,1
211,5,1,1,33,100,50,4,75,1,0,0
34,5,1,2,33,100,50,1,25,0,1,0
0,5,1,3,33,0,0,0,0,0,0,1
167,5,2,1,34,300,10,1,75,0,1,0
175,5,2,2,34,100,50,1,75,1,0,0
0,5,2,3,34,0,0,0,0,0,0,1
52,5,3,1,35,100,50,2,25,0,1,0
167,5,3,2,35,300,10,1,75,0,1,0
0,5,3,3,35,0,0,0,0,0,0,1
181,5,4,1,36,100,10,2,75,1,0,0
42,5,4,2,36,500,10,2,25,0,1,0
0,5,4,3,36,0,0,0,0,0,0,1
194,5,5,1,37,300,50,2,75,1,0,0
90,5,5,2,37,500,50,0.5,50,0,1,0
0,5,5,3,37,0,0,0,0,0,0,1
146,5,6,1,38,300,10,0.5,75,1,0,0
181,5,6,2,38,100,10,2,75,1,0,0
0,5,6,3,38,0,0,0,0,0,0,1
17,5,7,1,39,300,50,0.5,25,0,1,0
215,5,7,2,39,300,50,4,75,0,1,0
0,5,7,3,39,0,0,0,0,0,0,1
26,5,8,1,40,300,25,1,25,1,0,0
124,5,8,2,40,100,50,2,50,0,1,0
0,5,8,3,40,0,0,0,0,0,0,1
77,6,1,1,41,300,10,0.5,50,0,1,0
26,6,1,2,41,300,25,1,25,1,0,0
0,6,1,3,41,0,0,0,0,0,0,1
29,6,2,1,42,300,25,1,25,0,1,0
60,6,2,2,42,500,10,4,25,0,1,0
0,6,2,3,42,0,0,0,0,0,0,1
155,6,3,1,43,300,25,0.5,75,0,1,0
178,6,3,2,43,100,50,1,75,0,1,0
0,6,3,3,43,0,0,0,0,0,0,1
90,6,4,1,44,500,50,0.5,50,0,1,0
124,6,4,2,44,100,50,2,50,0,1,0
0,6,4,3,44,0,0,0,0,0,0,1
135,6,5,1,45,500,25,4,50,1,0,0
158,6,5,2,45,300,50,0.5,75,1,0,0
0,6,5,3,45,0,0,0,0,0,0,1
118,6,6,1,46,100,25,2,50,0,1,0
13,6,6,2,46,100,50,0.5,25,1,0,0
0,6,6,3,46,0,0,0,0,0,0,1
195,6,7,1,47,500,50,2,75,1,0,0
210,6,7,2,47,500,25,4,75,0,1,0
0,6,7,3,47,0,0,0,0,0,0,1
32,6,8,1,48,300,50,1,25,1,0,0
77,6,8,2,48,300,10,0.5,50,0,1,0
0,6,8,3,48,0,0,0,0,0,0,1
12,7,1,1,49,500,25,0.5,25,0,1,0
168,7,1,2,49,500,10,1,75,0,1,0
0,7,1,3,49,0,0,0,0,0,0,1
77,7,2,1,50,300,10,0.5,50,0,1,0
55,7,2,2,50,100,10,4,25,1,0,0
0,7,2,3,50,0,0,0,0,0,0,1
148,7,3,1,51,100,10,0.5,75,0,1,0
28,7,3,2,51,100,25,1,25,0,1,0
0,7,3,3,51,0,0,0,0,0,0,1
152,7,4,1,52,300,25,0.5,75,1,0,0
86,7,4,2,52,300,50,0.5,50,1,0,0
0,7,4,3,52,0,0,0,0,0,0,1
216,7,5,1,53,500,50,4,75,0,1,0
28,7,5,2,53,100,25,1,25,0,1,0
0,7,5,3,53,0,0,0,0,0,0,1
81,7,6,1,54,500,25,0.5,50,1,0,0
104,7,6,2,54,300,50,1,50,1,0,0
0,7,6,3,54,0,0,0,0,0,0,1
89,7,7,1,55,300,50,0.5,50,0,1,0
187,7,7,2,55,100,25,2,75,1,0,0
0,7,7,3,55,0,0,0,0,0,0,1
27,7,8,1,56,500,25,1,25,1,0,0
167,7,8,2,56,300,10,1,75,0,1,0
0,7,8,3,56,0,0,0,0,0,0,1
3,8,1,1,57,500,10,0.5,25,1,0,0
52,8,1,2,57,100,50,2,25,0,1,0
0,8,1,3,57,0,0,0,0,0,0,1
162,8,2,1,58,500,50,0.5,75,0,1,0
29,8,2,2,58,300,25,1,25,0,1,0
0,8,2,3,58,0,0,0,0,0,0,1
166,8,3,1,59,100,10,1,75,0,1,0
104,8,3,2,59,300,50,1,50,1,0,0
0,8,3,3,59,0,0,0,0,0,0,1
215,8,4,1,60,300,50,4,75,0,1,0
106,8,4,2,60,100,50,1,50,0,1,0
0,8,4,3,60,0,0,0,0,0,0,1
32,8,5,1,61,300,50,1,25,1,0,0
173,8,5,2,61,300,25,1,75,0,1,0
0,8,5,3,61,0,0,0,0,0,0,1
136,8,6,1,62,100,25,4,50,0,1,0
108,8,6,2,62,500,50,1,50,0,1,0
0,8,6,3,62,0,0,0,0,0,0,1
214,8,7,1,63,100,50,4,75,0,1,0
67,8,7,2,63,100,50,4,25,1,0,0
0,8,7,3,63,0,0,0,0,0,0,1
183,8,8,1,64,500,10,2,75,1,0,0
95,8,8,2,64,300,10,1,50,0,1,0
0,8,8,3,64,0,0,0,0,0,0,1
15,9,1,1,65,500,50,0.5,25,1,0,0
38,9,1,2,65,300,10,2,25,1,0,0
0,9,1,3,65,0,0,0,0,0,0,1
96,9,2,1,66,500,10,1,50,0,1,0
198,9,2,2,66,500,50,2,75,0,1,0
0,9,2,3,66,0,0,0,0,0,0,1
72,9,3,1,67,500,50,4,25,0,1,0
20,9,3,2,67,300,10,1,25,1,0,0
0,9,3,3,67,0,0,0,0,0,0,1
172,9,4,1,68,100,25,1,75,0,1,0
204,9,4,2,68,500,10,4,75,0,1,0
0,9,4,3,68,0,0,0,0,0,0,1
177,9,5,1,69,500,50,1,75,1,0,0
196,9,5,2,69,100,50,2,75,0,1,0
0,9,5,3,69,0,0,0,0,0,0,1
197,9,6,1,70,300,50,2,75,0,1,0
123,9,6,2,70,500,50,2,50,1,0,0
0,9,6,3,70,0,0,0,0,0,0,1
54,9,7,1,71,500,50,2,25,0,1,0
47,9,7,2,71,300,25,2,25,0,1,0
0,9,7,3,71,0,0,0,0,0,0,1
89,9,8,1,72,300,50,0.5,50,0,1,0
31,9,8,2,72,100,50,1,25,1,0,0
0,9,8,3,72,0,0,0,0,0,0,1
45,10,1,1,73,500,25,2,25,1,0,0
40,10,1,2,73,100,10,2,25,0,1,0
0,10,1,3,73,0,0,0,0,0,0,1
201,10,2,1,74,500,10,4,75,1,0,0
88,10,2,2,74,100,50,0.5,50,0,1,0
0,10,2,3,74,0,0,0,0,0,0,1
35,10,3,1,75,300,50,1,25,0,1,0
145,10,3,2,75,100,10,0.5,75,1,0,0
0,10,3,3,75,0,0,0,0,0,0,1
206,10,4,1,76,300,25,4,75,1,0,0
71,10,4,2,76,300,50,4,25,0,1,0
0,10,4,3,76,0,0,0,0,0,0,1
177,10,5,1,77,500,50,1,75,1,0,0
216,10,5,2,77,500,50,4,75,0,1,0
0,10,5,3,77,0,0,0,0,0,0,1
179,10,6,1,78,300,50,1,75,0,1,0
69,10,6,2,78,500,50,4,25,1,0,0
0,10,6,3,78,0,0,0,0,0,0,1
42,10,7,1,79,500,10,2,25,0,1,0
165,10,7,2,79,500,10,1,75,1,0,0
0,10,7,3,79,0,0,0,0,0,0,1
196,10,8,1,80,100,50,2,75,0,1,0
118,10,8,2,80,100,25,2,50,0,1,0
0,10,8,3,80,0,0,0,0,0,0,1
146,11,1,1,81,300,10,0.5,75,1,0,0
137,11,1,2,81,300,25,4,50,0,1,0
0,11,1,3,81,0,0,0,0,0,0,1
145,11,2,1,82,100,10,0.5,75,1,0,0
39,11,2,2,82,500,10,2,25,1,0,0
0,11,2,3,82,0,0,0,0,0,0,1
50,11,3,1,83,300,50,2,25,1,0,0
187,11,3,2,83,100,25,2,75,1,0,0
0,11,3,3,83,0,0,0,0,0,0,1
153,11,4,1,84,500,25,0.5,75,1,0,0
96,11,4,2,84,500,10,1,50,0,1,0
0,11,4,3,84,0,0,0,0,0,0,1
35,11,5,1,85,300,50,1,25,0,1,0
34,11,5,2,85,100,50,1,25,0,1,0
0,11,5,3,85,0,0,0,0,0,0,1
130,11,6,1,86,100,10,4,50,0,1,0
39,11,6,2,86,500,10,2,25,1,0,0
0,11,6,3,86,0,0,0,0,0,0,1
11,11,7,1,87,300,25,0.5,25,0,1,0
78,11,7,2,87,500,10,0.5,50,0,1,0
0,11,7,3,87,0,0,0,0,0,0,1
95,11,8,1,88,300,10,1,50,0,1,0
168,11,8,2,88,500,10,1,75,0,1,0
0,11,8,3,88,0,0,0,0,0,0,1
14,12,1,1,89,300,50,0.5,25,1,0,0
215,12,1,2,89,300,50,4,75,0,1,0
0,12,1,3,89,0,0,0,0,0,0,1
203,12,2,1,90,300,10,4,75,0,1,0
39,12,2,2,90,500,10,2,25,1,0,0
0,12,2,3,90,0,0,0,0,0,0,1
12,12,3,1,91,500,25,0.5,25,0,1,0
54,12,3,2,91,500,50,2,25,0,1,0
0,12,3,3,91,0,0,0,0,0,0,1
46,12,4,1,92,100,25,2,25,0,1,0
71,12,4,2,92,300,50,4,25,0,1,0
0,12,4,3,92,0,0,0,0,0,0,1
31,12,5,1,93,100,50,1,25,1,0,0
94,12,5,2,93,100,10,1,50,0,1,0
0,12,5,3,93,0,0,0,0,0,0,1
33,12,6,1,94,500,50,1,25,1,0,0
10,12,6,2,94,100,25,0.5,25,0,1,0
0,12,6,3,94,0,0,0,0,0,0,1
215,12,7,1,95,300,50,4,75,0,1,0
117,12,7,2,95,500,25,2,50,1,0,0
0,12,7,3,95,0,0,0,0,0,0,1
46,12,8,1,96,100,25,2,25,0,1,0
206,12,8,2,96,300,25,4,75,1,0,0
0,12,8,3,96,0,0,0,0,0,0,1
200,13,1,1,97,300,10,4,75,1,0,0
161,13,1,2,97,300,50,0.5,75,0,1,0
0,13,1,3,97,0,0,0,0,0,0,1
17,13,2,1,98,300,50,0.5,25,0,1,0
36,13,2,2,98,500,50,1,25,0,1,0
0,13,2,3,98,0,0,0,0,0,0,1
60,13,3,1,99,500,10,4,25,0,1,0
178,13,3,2,99,100,50,1,75,0,1,0
0,13,3,3,99,0,0,0,0,0,0,1
33,13,4,1,100,500,50,1,25,1,0,0
214,13,4,2,100,100,50,4,75,0,1,0
0,13,4,3,100,0,0,0,0,0,0,1
181,13,5,1,101,100,10,2,75,1,0,0
153,13,5,2,101,500,25,0.5,75,1,0,0
0,13,5,3,101,0,0,0,0,0,0,1
178,13,6,1,102,100,50,1,75,0,1,0
108,13,6,2,102,500,50,1,50,0,1,0
0,13,6,3,102,0,0,0,0,0,0,1
85,13,7,1,103,100,50,0.5,50,1,0,0
201,13,7,2,103,500,10,4,75,1,0,0
0,13,7,3,103,0,0,0,0,0,0,1
182,13,8,1,104,300,10,2,75,1,0,0
152,13,8,2,104,300,25,0.5,75,1,0,0
0,13,8,3,104,0,0,0,0,0,0,1
183,14,1,1,105,500,10,2,75,1,0,0
129,14,1,2,105,500,10,4,50,1,0,0
0,14,1,3,105,0,0,0,0,0,0,1
157,14,2,1,106,100,50,0.5,75,1,0,0
176,14,2,2,106,300,50,1,75,1,0,0
0,14,2,3,106,0,0,0,0,0,0,1
35,14,3,1,107,300,50,1,25,0,1,0
76,14,3,2,107,100,10,0.5,50,0,1,0
0,14,3,3,107,0,0,0,0,0,0,1
17,14,4,1,108,300,50,0.5,25,0,1,0
115,14,4,2,108,100,25,2,50,1,0,0
0,14,4,3,108,0,0,0,0,0,0,1
64,14,5,1,109,100,25,4,25,0,1,0
190,14,5,2,109,100,25,2,75,0,1,0
0,14,5,3,109,0,0,0,0,0,0,1
206,14,6,1,110,300,25,4,75,1,0,0
133,14,6,2,110,100,25,4,50,1,0,0
0,14,6,3,110,0,0,0,0,0,0,1
160,14,7,1,111,100,50,0.5,75,0,1,0
165,14,7,2,111,500,10,1,75,1,0,0
0,14,7,3,111,0,0,0,0,0,0,1
211,14,8,1,112,100,50,4,75,1,0,0
92,14,8,2,112,300,10,1,50,1,0,0
0,14,8,3,112,0,0,0,0,0,0,1
187,15,1,1,113,100,25,2,75,1,0,0
107,15,1,2,113,300,50,1,50,0,1,0
0,15,1,3,113,0,0,0,0,0,0,1
171,15,2,1,114,500,25,1,75,1,0,0
179,15,2,2,114,300,50,1,75,0,1,0
0,15,2,3,114,0,0,0,0,0,0,1
100,15,3,1,115,100,25,1,50,0,1,0
173,15,3,2,115,300,25,1,75,0,1,0
0,15,3,3,115,0,0,0,0,0,0,1
211,15,4,1,116,100,50,4,75,1,0,0
116,15,4,2,116,300,25,2,50,1,0,0
0,15,4,3,116,0,0,0,0,0,0,1
40,15,5,1,117,100,10,2,25,0,1,0
193,15,5,2,117,100,50,2,75,1,0,0
0,15,5,3,117,0,0,0,0,0,0,1
93,15,6,1,118,500,10,1,50,1,0,0
176,15,6,2,118,300,50,1,75,1,0,0
0,15,6,3,118,0,0,0,0,0,0,1
193,15,7,1,119,100,50,2,75,1,0,0
71,15,7,2,119,300,50,4,25,0,1,0
0,15,7,3,119,0,0,0,0,0,0,1
155,15,8,1,120,300,25,0.5,75,0,1,0
111,15,8,2,120,500,10,2,50,1,0,0
0,15,8,3,120,0,0,0,0,0,0,1
59,16,1,1,121,300,10,4,25,0,1,0
216,16,1,2,121,500,50,4,75,0,1,0
0,16,1,3,121,0,0,0,0,0,0,1
201,16,2,1,122,500,10,4,75,1,0,0
84,16,2,2,122,500,25,0.5,50,0,1,0
0,16,2,3,122,0,0,0,0,0,0,1
105,16,3,1,123,500,50,1,50,1,0,0
170,16,3,2,123,300,25,1,75,1,0,0
0,16,3,3,123,0,0,0,0,0,0,1
113,16,4,1,124,300,10,2,50,0,1,0
139,16,4,2,124,100,50,4,50,1,0,0
0,16,4,3,124,0,0,0,0,0,0,1
28,16,5,1,125,100,25,1,25,0,1,0
147,16,5,2,125,500,10,0.5,75,1,0,0
0,16,5,3,125,0,0,0,0,0,0,1
139,16,6,1,126,100,50,4,50,1,0,0
15,16,6,2,126,500,50,0.5,25,1,0,0
0,16,6,3,126,0,0,0,0,0,0,1
173,16,7,1,127,300,25,1,75,0,1,0
160,16,7,2,127,100,50,0.5,75,0,1,0
0,16,7,3,127,0,0,0,0,0,0,1
34,16,8,1,128,100,50,1,25,0,1,0
185,16,8,2,128,300,10,2,75,0,1,0
0,16,8,3,128,0,0,0,0,0,0,1
96,17,1,1,129,500,10,1,50,0,1,0
88,17,1,2,129,100,50,0.5,50,0,1,0
0,17,1,3,129,0,0,0,0,0,0,1
119,17,2,1,130,300,25,2,50,0,1,0
157,17,2,2,130,100,50,0.5,75,1,0,0
0,17,2,3,130,0,0,0,0,0,0,1
24,17,3,1,131,500,10,1,25,0,1,0
52,17,3,2,131,100,50,2,25,0,1,0
0,17,3,3,131,0,0,0,0,0,0,1
163,17,4,1,132,100,10,1,75,1,0,0
121,17,4,2,132,100,50,2,50,1,0,0
0,17,4,3,132,0,0,0,0,0,0,1
176,17,5,1,133,300,50,1,75,1,0,0
17,17,5,2,133,300,50,0.5,25,0,1,0
0,17,5,3,133,0,0,0,0,0,0,1
43,17,6,1,134,100,25,2,25,1,0,0
201,17,6,2,134,500,10,4,75,1,0,0
0,17,6,3,134,0,0,0,0,0,0,1
111,17,7,1,135,500,10,2,50,1,0,0
71,17,7,2,135,300,50,4,25,0,1,0
0,17,7,3,135,0,0,0,0,0,0,1
9,17,8,1,136,500,25,0.5,25,1,0,0
160,17,8,2,136,100,50,0.5,75,0,1,0
0,17,8,3,136,0,0,0,0,0,0,1
193,18,1,1,137,100,50,2,75,1,0,0
131,18,1,2,137,300,10,4,50,0,1,0
0,18,1,3,137,0,0,0,0,0,0,1
193,18,2,1,138,100,50,2,75,1,0,0
127,18,2,2,138,100,10,4,50,1,0,0
0,18,2,3,138,0,0,0,0,0,0,1
24,18,3,1,139,500,10,1,25,0,1,0
26,18,3,2,139,300,25,1,25,1,0,0
0,18,3,3,139,0,0,0,0,0,0,1
120,18,4,1,140,500,25,2,50,0,1,0
61,18,4,2,140,100,25,4,25,1,0,0
0,18,4,3,140,0,0,0,0,0,0,1
177,18,5,1,141,500,50,1,75,1,0,0
144,18,5,2,141,500,50,4,50,0,1,0
0,18,5,3,141,0,0,0,0,0,0,1
144,18,6,1,142,500,50,4,50,0,1,0
2,18,6,2,142,300,10,0.5,25,1,0,0
0,18,6,3,142,0,0,0,0,0,0,1
8,18,7,1,143,300,25,0.5,25,1,0,0
85,18,7,2,143,100,50,0.5,50,1,0,0
0,18,7,3,143,0,0,0,0,0,0,1
210,18,8,1,144,500,25,4,75,0,1,0
190,18,8,2,144,100,25,2,75,0,1,0
0,18,8,3,144,0,0,0,0,0,0,1
64,19,1,1,145,100,25,4,25,0,1,0
132,19,1,2,145,500,10,4,50,0,1,0
0,19,1,3,145,0,0,0,0,0,0,1
48,19,2,1,146,500,25,2,25,0,1,0
175,19,2,2,146,100,50,1,75,1,0,0
0,19,2,3,146,0,0,0,0,0,0,1
183,19,3,1,147,500,10,2,75,1,0,0
99,19,3,2,147,500,25,1,50,1,0,0
0,19,3,3,147,0,0,0,0,0,0,1
35,19,4,1,148,300,50,1,25,0,1,0
183,19,4,2,148,500,10,2,75,1,0,0
0,19,4,3,148,0,0,0,0,0,0,1
209,19,5,1,149,300,25,4,75,0,1,0
103,19,5,2,149,100,50,1,50,1,0,0
0,19,5,3,149,0,0,0,0,0,0,1
130,19,6,1,150,100,10,4,50,0,1,0
56,19,6,2,150,300,10,4,25,1,0,0
0,19,6,3,150,0,0,0,0,0,0,1
205,19,7,1,151,100,25,4,75,1,0,0
106,19,7,2,151,100,50,1,50,0,1,0
0,19,7,3,151,0,0,0,0,0,0,1
106,19,8,1,152,100,50,1,50,0,1,0
175,19,8,2,152,100,50,1,75,1,0,0
0,19,8,3,152,0,0,0,0,0,0,1
123,20,1,1,153,500,50,2,50,1,0,0
42,20,1,2,153,500,10,2,25,0,1,0
0,20,1,3,153,0,0,0,0,0,0,1
114,20,2,1,154,500,10,2,50,0,1,0
179,20,2,2,154,300,50,1,75,0,1,0
0,20,2,3,154,0,0,0,0,0,0,1
138,20,3,1,155,500,25,4,50,0,1,0
168,20,3,2,155,500,10,1,75,0,1,0
0,20,3,3,155,0,0,0,0,0,0,1
89,20,4,1,156,300,50,0.5,50,0,1,0
177,20,4,2,156,500,50,1,75,1,0,0
0,20,4,3,156,0,0,0,0,0,0,1
12,20,5,1,157,500,25,0.5,25,0,1,0
49,20,5,2,157,100,50,2,25,1,0,0
0,20,5,3,157,0,0,0,0,0,0,1
48,20,6,1,158,500,25,2,25,0,1,0
181,20,6,2,158,100,10,2,75,1,0,0
0,20,6,3,158,0,0,0,0,0,0,1
179,20,7,1,159,300,50,1,75,0,1,0
216,20,7,2,159,500,50,4,75,0,1,0
0,20,7,3,159,0,0,0,0,0,0,1
162,20,8,1,160,500,50,0.5,75,0,1,0
100,20,8,2,160,100,25,1,50,0,1,0
0,20,8,3,160,0,0,0,0,0,0,1
114,21,1,1,161,500,10,2,50,0,1,0
50,21,1,2,161,300,50,2,25,1,0,0
0,21,1,3,161,0,0,0,0,0,0,1
90,21,2,1,162,500,50,0.5,50,0,1,0
54,21,2,2,162,500,50,2,25,0,1,0
0,21,2,3,162,0,0,0,0,0,0,1
196,21,3,1,163,100,50,2,75,0,1,0
162,21,3,2,163,500,50,0.5,75,0,1,0
0,21,3,3,163,0,0,0,0,0,0,1
151,21,4,1,164,100,25,0.5,75,1,0,0
192,21,4,2,164,500,25,2,75,0,1,0
0,21,4,3,164,0,0,0,0,0,0,1
192,21,5,1,165,500,25,2,75,0,1,0
39,21,5,2,165,500,10,2,25,1,0,0
0,21,5,3,165,0,0,0,0,0,0,1
84,21,6,1,166,500,25,0.5,50,0,1,0
87,21,6,2,166,500,50,0.5,50,1,0,0
0,21,6,3,166,0,0,0,0,0,0,1
73,21,7,1,167,100,10,0.5,50,1,0,0
129,21,7,2,167,500,10,4,50,1,0,0
0,21,7,3,167,0,0,0,0,0,0,1
77,21,8,1,168,300,10,0.5,50,0,1,0
27,21,8,2,168,500,25,1,25,1,0,0
0,21,8,3,168,0,0,0,0,0,0,1
192,22,1,1,169,500,25,2,75,0,1,0
55,22,1,2,169,100,10,4,25,1,0,0
0,22,1,3,169,0,0,0,0,0,0,1
19,22,2,1,170,100,10,1,25,1,0,0
111,22,2,2,170,500,10,2,50,1,0,0
0,22,2,3,170,0,0,0,0,0,0,1
105,22,3,1,171,500,50,1,50,1,0,0
49,22,3,2,171,100,50,2,25,1,0,0
0,22,3,3,171,0,0,0,0,0,0,1
160,22,4,1,172,100,50,0.5,75,0,1,0
200,22,4,2,172,300,10,4,75,1,0,0
0,22,4,3,172,0,0,0,0,0,0,1
90,22,5,1,173,500,50,0.5,50,0,1,0
106,22,5,2,173,100,50,1,50,0,1,0
0,22,5,3,173,0,0,0,0,0,0,1
125,22,6,1,174,300,50,2,50,0,1,0
118,22,6,2,174,100,25,2,50,0,1,0
0,22,6,3,174,0,0,0,0,0,0,1
201,22,7,1,175,500,10,4,75,1,0,0
163,22,7,2,175,100,10,1,75,1,0,0
0,22,7,3,175,0,0,0,0,0,0,1
120,22,8,1,176,500,25,2,50,0,1,0
117,22,8,2,176,500,25,2,50,1,0,0
0,22,8,3,176,0,0,0,0,0,0,1
70,23,1,1,177,100,50,4,25,0,1,0
2,23,1,2,177,300,10,0.5,25,1,0,0
0,23,1,3,177,0,0,0,0,0,0,1
190,23,2,1,178,100,25,2,75,0,1,0
166,23,2,2,178,100,10,1,75,0,1,0
0,23,2,3,178,0,0,0,0,0,0,1
183,23,3,1,179,500,10,2,75,1,0,0
184,23,3,2,179,100,10,2,75,0,1,0
0,23,3,3,179,0,0,0,0,0,0,1
93,23,4,1,180,500,10,1,50,1,0,0
111,23,4,2,180,500,10,2,50,1,0,0
0,23,4,3,180,0,0,0,0,0,0,1
106,23,5,1,181,100,50,1,50,0,1,0
41,23,5,2,181,300,10,2,25,0,1,0
0,23,5,3,181,0,0,0,0,0,0,1
11,23,6,1,182,300,25,0.5,25,0,1,0
93,23,6,2,182,500,10,1,50,1,0,0
0,23,6,3,182,0,0,0,0,0,0,1
70,23,7,1,183,100,50,4,25,0,1,0
71,23,7,2,183,300,50,4,25,0,1,0
0,23,7,3,183,0,0,0,0,0,0,1
104,23,8,1,184,300,50,1,50,1,0,0
212,23,8,2,184,300,50,4,75,1,0,0
0,23,8,3,184,0,0,0,0,0,0,1
208,24,1,1,185,100,25,4,75,0,1,0
89,24,1,2,185,300,50,0.5,50,0,1,0
0,24,1,3,185,0,0,0,0,0,0,1
153,24,2,1,186,500,25,0.5,75,1,0,0
146,24,2,2,186,300,10,0.5,75,1,0,0
0,24,2,3,186,0,0,0,0,0,0,1
14,24,3,1,187,300,50,0.5,25,1,0,0
129,24,3,2,187,500,10,4,50,1,0,0
0,24,3,3,187,0,0,0,0,0,0,1
53,24,4,1,188,300,50,2,25,0,1,0
142,24,4,2,188,100,50,4,50,0,1,0
0,24,4,3,188,0,0,0,0,0,0,1
16,24,5,1,189,100,50,0.5,25,0,1,0
39,24,5,2,189,500,10,2,25,1,0,0
0,24,5,3,189,0,0,0,0,0,0,1
71,24,6,1,190,300,50,4,25,0,1,0
87,24,6,2,190,500,50,0.5,50,1,0,0
0,24,6,3,190,0,0,0,0,0,0,1
206,24,7,1,191,300,25,4,75,1,0,0
