profileID,respID,qID,altID,obsID,cashback,warranty,frequency,discharge,remain,no_choice
311,13,6,2,78,7,85,3,20,70,0
0,13,6,3,78,0,0,0,0,0,1
200,14,1,1,79,7,80,3,20,60,0
264,14,1,2,79,10,80,2,15,70,0
0,14,1,3,79,0,0,0,0,0,1
21,14,2,1,80,10,80,3,10,50,0
114,14,2,2,80,10,85,1,10,60,0
0,14,2,3,80,0,0,0,0,0,1
62,14,3,1,81,7,90,3,15,50,0
227,14,3,2,81,7,80,2,10,70,0
0,14,3,3,81,0,0,0,0,0,1
12,14,4,1,82,10,80,2,10,50,0
290,14,4,2,82,7,80,1,20,70,0
0,14,4,3,82,0,0,0,0,0,1
250,14,5,1,83,5,90,4,10,70,0
15,14,5,2,83,10,85,2,10,50,0
0,14,5,3,83,0,0,0,0,0,1
111,14,6,1,84,10,80,1,10,60,0
57,14,6,2,84,10,80,3,15,50,0
0,14,6,3,84,0,0,0,0,0,1
137,15,1,1,85,7,80,4,10,60,0
28,15,1,2,85,5,80,4,10,50,0
0,15,1,3,85,0,0,0,0,0,1
286,15,2,1,86,5,90,4,15,70,0
311,15,2,2,86,7,85,3,20,70,0
0,15,2,3,86,0,0,0,0,0,1
68,15,3,1,87,7,85,4,15,50,0
36,15,3,2,87,10,90,4,10,50,0
0,15,3,3,87,0,0,0,0,0,1
128,15,4,1,88,7,80,3,10,60,0
47,15,4,2,88,7,80,2,15,50,0
0,15,4,3,88,0,0,0,0,0,1
120,15,5,1,89,10,80,2,10,60,0
63,15,5,2,89,10,90,3,15,50,0
0,15,5,3,89,0,0,0,0,0,1
202,15,6,1,90,5,85,3,20,60,0
275,15,6,2,90,7,85,3,15,70,0
0,15,6,3,90,0,0,0,0,0,1
303,16,1,1,91,10,85,2,20,70,0
219,16,1,2,91,10,80,1,10,70,0
0,16,1,3,91,0,0,0,0,0,1
124,16,2,1,92,5,90,2,10,60,0
126,16,2,2,92,10,90,2,10,60,0
0,16,2,3,92,0,0,0,0,0,1
147,16,3,1,93,10,80,1,15,60,0
260,16,3,2,93,7,90,1,15,70,0
0,16,3,3,93,0,0,0,0,0,1
113,16,4,1,94,7,85,1,10,60,0
35,16,4,2,94,7,90,4,10,50,0
0,16,4,3,94,0,0,0,0,0,1
81,16,5,1,95,10,90,1,20,50,0
229,16,5,2,95,5,85,2,10,70,0
0,16,5,3,95,0,0,0,0,0,1
253,16,6,1,96,5,80,1,15,70,0
153,16,6,2,96,10,90,1,15,60,0
0,16,6,3,96,0,0,0,0,0,1
121,17,1,1,97,5,85,2,10,60,0
187,17,1,2,97,5,90,1,20,60,0
0,17,1,3,97,0,0,0,0,0,1
133,17,2,1,98,5,90,3,10,60,0
265,17,2,2,98,5,85,2,15,70,0
0,17,2,3,98,0,0,0,0,0,1
106,17,3,1,99,5,90,4,20,50,0
216,17,3,2,99,10,90,4,20,60,0
0,17,3,3,99,0,0,0,0,0,1
276,17,4,1,100,10,85,3,15,70,0
64,17,4,2,100,5,80,4,15,50,0
0,17,4,3,100,0,0,0,0,0,1
275,17,5,1,101,7,85,3,15,70,0
87,17,5,2,101,10,85,2,20,50,0
0,17,5,3,101,0,0,0,0,0,1
123,17,6,1,102,10,85,2,10,60,0
98,17,6,2,102,7,90,3,20,50,0
0,17,6,3,102,0,0,0,0,0,1
115,18,1,1,103,5,90,1,10,60,0
276,18,1,2,103,10,85,3,15,70,0
0,18,1,3,103,0,0,0,0,0,1
100,18,2,1,104,5,80,4,20,50,0
8,18,2,2,104,7,90,1,10,50,0
0,18,2,3,104,0,0,0,0,0,1
226,18,3,1,105,5,80,2,10,70,0
84,18,3,2,105,10,80,2,20,50,0
0,18,3,3,105,0,0,0,0,0,1
265,18,4,1,106,5,85,2,15,70,0
77,18,4,2,106,7,85,1,20,50,0
0,18,4,3,106,0,0,0,0,0,1
135,18,5,1,107,10,90,3,10,60,0
264,18,5,2,107,10,80,2,15,70,0
0,18,5,3,107,0,0,0,0,0,1
22,18,6,1,108,5,85,3,10,50,0
50,18,6,2,108,7,85,2,15,50,0
0,18,6,3,108,0,0,0,0,0,1
49,19,1,1,109,5,85,2,15,50,0
35,19,1,2,109,7,90,4,10,50,0
0,19,1,3,109,0,0,0,0,0,1
183,19,2,1,110,10,80,1,20,60,0
165,19,2,2,110,10,80,3,15,60,0
0,19,2,3,110,0,0,0,0,0,1
41,19,3,1,111,7,85,1,15,50,0
241,19,3,2,111,5,90,3,10,70,0
0,19,3,3,111,0,0,0,0,0,1
274,19,4,1,112,5,85,3,15,70,0
208,19,4,2,112,5,80,4,20,60,0
0,19,4,3,112,0,0,0,0,0,1
206,19,5,1,113,7,90,3,20,60,0
229,19,5,2,113,5,85,2,10,70,0
0,19,5,3,113,0,0,0,0,0,1
35,19,6,1,114,7,90,4,10,50,0
183,19,6,2,114,10,80,1,20,60,0
0,19,6,3,114,0,0,0,0,0,1
47,20,1,1,115,7,80,2,15,50,0
62,20,1,2,115,7,90,3,15,50,0
0,20,1,3,115,0,0,0,0,0,1
257,20,2,1,116,7,85,1,15,70,0
99,20,2,2,116,10,90,3,20,50,0
0,20,2,3,116,0,0,0,0,0,1
46,20,3,1,117,5,80,2,15,50,0
22,20,3,2,117,5,85,3,10,50,0
0,20,3,3,117,0,0,0,0,0,1
29,20,4,1,118,7,80,4,10,50,0
73,20,4,2,118,5,80,1,20,50,0
0,20,4,3,118,0,0,0,0,0,1
306,20,5,1,119,10,90,2,20,70,0
299,20,5,2,119,7,80,2,20,70,0
0,20,5,3,119,0,0,0,0,0,1
220,20,6,1,120,5,85,1,10,70,0
228,20,6,2,120,10,80,2,10,70,0
0,20,6,3,120,0,0,0,0,0,1
296,21,1,1,121,7,90,1,20,70,0
203,21,1,2,121,7,85,3,20,60,0
0,21,1,3,121,0,0,0,0,0,1
220,21,2,1,122,5,85,1,10,70,0
9,21,2,2,122,10,90,1,10,50,0
0,21,2,3,122,0,0,0,0,0,1
157,21,3,1,123,5,85,2,15,60,0
42,21,3,2,123,10,85,1,15,50,0
0,21,3,3,123,0,0,0,0,0,1
70,21,4,1,124,5,90,4,15,50,0
51,21,4,2,124,10,85,2,15,50,0
0,21,4,3,124,0,0,0,0,0,1
34,21,5,1,125,5,90,4,10,50,0
239,21,5,2,125,7,85,3,10,70,0
0,21,5,3,125,0,0,0,0,0,1
22,21,6,1,126,5,85,3,10,50,0
320,21,6,2,126,7,85,4,20,70,0
0,21,6,3,126,0,0,0,0,0,1
187,22,1,1,127,5,90,1,20,60,0
89,22,1,2,127,7,90,2,20,50,0
0,22,1,3,127,0,0,0,0,0,1
49,22,2,1,128,5,85,2,15,50,0
23,22,2,2,128,7,85,3,10,50,0
0,22,2,3,128,0,0,0,0,0,1
202,22,3,1,129,5,85,3,20,60,0
164,22,3,2,129,7,80,3,15,60,0
0,22,3,3,129,0,0,0,0,0,1
249,22,4,1,130,10,85,4,10,70,0
82,22,4,2,130,5,80,2,20,50,0
0,22,4,3,130,0,0,0,0,0,1
53,22,5,1,131,7,90,2,15,50,0
178,22,5,2,131,5,90,4,15,60,0
0,22,5,3,131,0,0,0,0,0,1
285,22,6,1,132,10,85,4,15,70,0
112,22,6,2,132,5,85,1,10,60,0
0,22,6,3,132,0,0,0,0,0,1
4,23,1,1,133,5,85,1,10,50,0
145,23,1,2,133,5,80,1,15,60,0
0,23,1,3,133,0,0,0,0,0,1
83,23,2,1,134,7,80,2,20,50,0
137,23,2,2,134,7,80,4,10,60,0
0,23,2,3,134,0,0,0,0,0,1
101,23,3,1,135,7,80,4,20,50,0
147,23,3,2,135,10,80,1,15,60,0
0,23,3,3,135,0,0,0,0,0,1
318,23,4,1,136,10,80,4,20,70,0
151,23,4,2,136,5,90,1,15,60,0
0,23,4,3,136,0,0,0,0,0,1
233,23,5,1,137,7,90,2,10,70,0
110,23,5,2,137,7,80,1,10,60,0
0,23,5,3,137,0,0,0,0,0,1
126,23,6,1,138,10,90,2,10,60,0
229,23,6,2,138,5,85,2,10,70,0
0,23,6,3,138,0,0,0,0,0,1
284,24,1,1,139,7,85,4,15,70,0
79,24,1,2,139,5,90,1,20,50,0
0,24,1,3,139,0,0,0,0,0,1
9,24,2,1,140,10,90,1,10,50,0
52,24,2,2,140,5,90,2,15,50,0
0,24,2,3,140,0,0,0,0,0,1
189,24,3,1,141,10,90,1,20,60,0
256,24,3,2,141,5,85,1,15,70,0
0,24,3,3,141,0,0,0,0,0,1
21,24,4,1,142,10,80,3,10,50,0
177,24,4,2,142,10,85,4,15,60,0
0,24,4,3,142,0,0,0,0,0,1
225,24,5,1,143,10,90,1,10,70,0
28,24,5,2,143,5,80,4,10,50,0
0,24,5,3,143,0,0,0,0,0,1
61,24,6,1,144,5,90,3,15,50,0
187,24,6,2,144,5,90,1,20,60,0
0,24,6,3,144,0,0,0,0,0,1
81,25,1,1,145,10,90,1,20,50,0
79,25,1,2,145,5,90,1,20,50,0
0,25,1,3,145,0,0,0,0,0,1
80,25,2,1,146,7,90,1,20,50,0
75,25,2,2,146,10,80,1,20,50,0
0,25,2,3,146,0,0,0,0,0,1
149,25,3,1,147,7,85,1,15,60,0
159,25,3,2,147,10,85,2,15,60,0
0,25,3,3,147,0,0,0,0,0,1
122,25,4,1,148,7,85,2,10,60,0
64,25,4,2,148,5,80,4,15,50,0
0,25,4,3,148,0,0,0,0,0,1
132,25,5,1,149,10,85,3,10,60,0
16,25,5,2,149,5,90,2,10,50,0
0,25,5,3,149,0,0,0,0,0,1
225,25,6,1,150,10,90,1,10,70,0
305,25,6,2,150,7,90,2,20,70,0
0,25,6,3,150,0,0,0,0,0,1
316,26,1,1,151,5,80,4,20,70,0
108,26,1,2,151,10,90,4,20,50,0
0,26,1,3,151,0,0,0,0,0,1
158,26,2,1,152,7,85,2,15,60,0
172,26,2,2,152,5,80,4,15,60,0
0,26,2,3,152,0,0,0,0,0,1
246,26,3,1,153,10,80,4,10,70,0
142,26,3,2,153,5,90,4,10,60,0
0,26,3,3,153,0,0,0,0,0,1
183,26,4,1,154,10,80,1,20,60,0
149,26,4,2,154,7,85,1,15,60,0
0,26,4,3,154,0,0,0,0,0,1
249,26,5,1,155,10,85,4,10,70,0
74,26,5,2,155,7,80,1,20,50,0
0,26,5,3,155,0,0,0,0,0,1
310,26,6,1,156,5,85,3,20,70,0
11,26,6,2,156,7,80,2,10,50,0
0,26,6,3,156,0,0,0,0,0,1
45,27,1,1,157,10,90,1,15,50,0
56,27,1,2,157,7,80,3,15,50,0
0,27,1,3,157,0,0,0,0,0,1
126,27,2,1,158,10,90,2,10,60,0
23,27,2,2,158,7,85,3,10,50,0
0,27,2,3,158,0,0,0,0,0,1
242,27,3,1,159,7,90,3,10,70,0
191,27,3,2,159,7,80,2,20,60,0
0,27,3,3,159,0,0,0,0,0,1
294,27,4,1,160,10,85,1,20,70,0
5,27,4,2,160,7,85,1,10,50,0
0,27,4,3,160,0,0,0,0,0,1
103,27,5,1,161,5,85,4,20,50,0
129,27,5,2,161,10,80,3,10,60,0
0,27,5,3,161,0,0,0,0,0,1
317,27,6,1,162,7,80,4,20,70,0
30,27,6,2,162,10,80,4,10,50,0
0,27,6,3,162,0,0,0,0,0,1
221,28,1,1,163,7,85,1,10,70,0
55,28,1,2,163,5,80,3,15,50,0
0,28,1,3,163,0,0,0,0,0,1
165,28,2,1,164,10,80,3,15,60,0
266,28,2,2,164,7,85,2,15,70,0
0,28,2,3,164,0,0,0,0,0,1
199,28,3,1,165,5,80,3,20,60,0
223,28,3,2,165,5,90,1,10,70,0
0,28,3,3,165,0,0,0,0,0,1
68,28,4,1,166,7,85,4,15,50,0
142,28,4,2,166,5,90,4,10,60,0
0,28,4,3,166,0,0,0,0,0,1
3,28,5,1,167,10,80,1,10,50,0
233,28,5,2,167,7,90,2,10,70,0
0,28,5,3,167,0,0,0,0,0,1
32,28,6,1,168,7,85,4,10,50,0
142,28,6,2,168,5,90,4,10,60,0
0,28,6,3,168,0,0,0,0,0,1
85,29,1,1,169,5,85,2,20,50,0
247,29,1,2,169,5,85,4,10,70,0
0,29,1,3,169,0,0,0,0,0,1
166,29,2,1,170,5,85,3,15,60,0
155,29,2,2,170,7,80,2,15,60,0
0,29,2,3,170,0,0,0,0,0,1
85,29,3,1,171,5,85,2,20,50,0
38,29,3,2,171,7,80,1,15,50,0
0,29,3,3,171,0,0,0,0,0,1
85,29,4,1,172,5,85,2,20,50,0
171,29,4,2,172,10,90,3,15,60,0
0,29,4,3,172,0,0,0,0,0,1
137,29,5,1,173,7,80,4,10,60,0
304,29,5,2,173,5,90,2,20,70,0
0,29,5,3,173,0,0,0,0,0,1
282,29,6,1,174,10,80,4,15,70,0
252,29,6,2,174,10,90,4,10,70,0
0,29,6,3,174,0,0,0,0,0,1
264,30,1,1,175,10,80,2,15,70,0
317,30,1,2,175,7,80,4,20,70,0
0,30,1,3,175,0,0,0,0,0,1
167,30,2,1,176,7,85,3,15,60,0
150,30,2,2,176,10,85,1,15,60,0
0,30,2,3,176,0,0,0,0,0,1
7,30,3,1,177,5,90,1,10,50,0
292,30,3,2,177,5,85,1,20,70,0
0,30,3,3,177,0,0,0,0,0,1
247,30,4,1,178,5,85,4,10,70,0
282,30,4,2,178,10,80,4,15,70,0
0,30,4,3,178,0,0,0,0,0,1
204,30,5,1,179,10,85,3,20,60,0
48,30,5,2,179,10,80,2,15,50,0
0,30,5,3,179,0,0,0,0,0,1
91,30,6,1,180,5,80,3,20,50,0
25,30,6,2,180,5,90,3,10,50,0
0,30,6,3,180,0,0,0,0,0,1
99,31,1,1,181,10,90,3,20,50,0
164,31,1,2,181,7,80,3,15,60,0
0,31,1,3,181,0,0,0,0,0,1
312,31,2,1,182,10,85,3,20,70,0
164,31,2,2,182,7,80,3,15,60,0
0,31,2,3,182,0,0,0,0,0,1
128,31,3,1,183,7,80,3,10,60,0
132,31,3,2,183,10,85,3,10,60,0
0,31,3,3,183,0,0,0,0,0,1
307,31,4,1,184,5,80,3,20,70,0
235,31,4,2,184,5,80,3,10,70,0
0,31,4,3,184,0,0,0,0,0,1
77,31,5,1,185,7,85,1,20,50,0
201,31,5,2,185,10,80,3,20,60,0
0,31,5,3,185,0,0,0,0,0,1
292,31,6,1,186,5,85,1,20,70,0
227,31,6,2,186,7,80,2,10,70,0
0,31,6,3,186,0,0,0,0,0,1
315,32,1,1,187,10,90,3,20,70,0
147,32,1,2,187,10,80,1,15,60,0
0,32,1,3,187,0,0,0,0,0,1
166,32,2,1,188,5,85,3,15,60,0
317,32,2,2,188,7,80,4,20,70,0
0,32,2,3,188,0,0,0,0,0,1
122,32,3,1,189,7,85,2,10,60,0
111,32,3,2,189,10,80,1,10,60,0
0,32,3,3,189,0,0,0,0,0,1
182,32,4,1,190,7,80,1,20,60,0
24,32,4,2,190,10,85,3,10,50,0
0,32,4,3,190,0,0,0,0,0,1
137,32,5,1,191,7,80,4,10,60,0
1,32,5,2,191,5,80,1,10,50,0
0,32,5,3,191,0,0,0,0,0,1
292,32,6,1,192,5,85,1,20,70,0
275,32,6,2,192,7,85,3,15,70,0
0,32,6,3,192,0,0,0,0,0,1
32,33,1,1,193,7,85,4,10,50,0
191,33,1,2,193,7,80,2,20,60,0
0,33,1,3,193,0,0,0,0,0,1
275,33,2,1,194,7,85,3,15,70,0
260,33,2,2,194,7,90,1,15,70,0
0,33,2,3,194,0,0,0,0,0,1
49,33,3,1,195,5,85,2,15,50,0
214,33,3,2,195,5,90,4,20,60,0
0,33,3,3,195,0,0,0,0,0,1
206,33,4,1,196,7,90,3,20,60,0
286,33,4,2,196,5,90,4,15,70,0
0,33,4,3,196,0,0,0,0,0,1
238,33,5,1,197,5,85,3,10,70,0
56,33,5,2,197,7,80,3,15,50,0
0,33,5,3,197,0,0,0,0,0,1
298,33,6,1,198,5,80,2,20,70,0
238,33,6,2,198,5,85,3,10,70,0
0,33,6,3,198,0,0,0,0,0,1
8,34,1,1,199,7,90,1,10,50,0
260,34,1,2,199,7,90,1,15,70,0
0,34,1,3,199,0,0,0,0,0,1
160,34,2,1,200,5,90,2,15,60,0
67,34,2,2,200,5,85,4,15,50,0
0,34,2,3,200,0,0,0,0,0,1
67,34,3,1,201,5,85,4,15,50,0
11,34,3,2,201,7,80,2,10,50,0
0,34,3,3,201,0,0,0,0,0,1
219,34,4,1,202,10,80,1,10,70,0
300,34,4,2,202,10,80,2,20,70,0
0,34,4,3,202,0,0,0,0,0,1
7,34,5,1,203,5,90,1,10,50,0
41,34,5,2,203,7,85,1,15,50,0
0,34,5,3,203,0,0,0,0,0,1
322,34,6,1,204,5,90,4,20,70,0
57,34,6,2,204,10,80,3,15,50,0
0,34,6,3,204,0,0,0,0,0,1
13,35,1,1,205,5,85,2,10,50,0
63,35,1,2,205,10,90,3,15,50,0
0,35,1,3,205,0,0,0,0,0,1
129,35,2,1,206,10,80,3,10,60,0
259,35,2,2,206,5,90,1,15,70,0
0,35,2,3,206,0,0,0,0,0,1
83,35,3,1,207,7,80,2,20,50,0
313,35,3,2,207,5,90,3,20,70,0
0,35,3,3,207,0,0,0,0,0,1
167,35,4,1,208,7,85,3,15,60,0
227,35,4,2,208,7,80,2,10,70,0
0,35,4,3,208,0,0,0,0,0,1
111,35,5,1,209,10,80,1,10,60,0
7,35,5,2,209,5,90,1,10,50,0
0,35,5,3,209,0,0,0,0,0,1
166,35,6,1,210,5,85,3,15,60,0
316,35,6,2,210,5,80,4,20,70,0
0,35,6,3,210,0,0,0,0,0,1
97,36,1,1,211,5,90,3,20,50,0
275,36,1,2,211,7,85,3,15,70,0
