profileID,respID,qID,altID,obsID,enrollment_cash,monthly_cash,override,minimum_threshold,guaranteed_threshold,no_choice
447,604,6,1,24,200,5,3,40,70,0
539,604,6,2,24,200,20,3,20,80,0
0,604,6,3,24,0,0,0,0,0,1
155,605,1,1,25,200,15,5,30,60,0
88,605,1,2,25,300,5,0,30,60,0
0,605,1,3,25,0,0,0,0,0,1
477,605,2,1,26,50,20,5,40,70,0
431,605,2,2,26,200,10,1,40,70,0
0,605,2,3,26,0,0,0,0,0,1
618,605,3,1,27,100,20,3,30,80,0
138,605,3,2,27,100,20,3,30,60,0
0,605,3,3,27,0,0,0,0,0,1
209,605,4,1,28,50,10,3,40,60,0
443,605,4,2,28,200,2,3,40,70,0
0,605,4,3,28,0,0,0,0,0,1
310,605,5,1,29,100,10,5,20,70,0
389,605,5,2,29,50,10,5,30,70,0
0,605,5,3,29,0,0,0,0,0,1
701,605,6,1,30,50,2,5,40,80,0
674,605,6,2,30,100,15,1,40,80,0
0,605,6,3,30,0,0,0,0,0,1
534,606,1,1,31,100,15,3,20,80,0
155,606,1,2,31,200,15,5,30,60,0
0,606,1,3,31,0,0,0,0,0,1
430,606,2,1,32,100,10,1,40,70,0
358,606,2,2,32,100,20,1,30,70,0
0,606,2,3,32,0,0,0,0,0,1
680,606,3,1,33,300,20,1,40,80,0
580,606,3,2,33,300,20,0,30,80,0
0,606,3,3,33,0,0,0,0,0,1
601,606,4,1,34,50,2,3,30,80,0
705,606,4,2,34,50,5,5,40,80,0
0,606,4,3,34,0,0,0,0,0,1
321,606,5,1,35,50,2,0,30,70,0
679,606,5,2,35,200,20,1,40,80,0
0,606,5,3,35,0,0,0,0,0,1
236,606,6,1,36,300,15,5,40,60,0
92,606,6,2,36,300,10,0,30,60,0
0,606,6,3,36,0,0,0,0,0,1
274,607,1,1,37,100,15,1,20,70,0
716,607,1,2,37,300,15,5,40,80,0
0,607,1,3,37,0,0,0,0,0,1
308,607,2,1,38,300,5,5,20,70,0
419,607,2,2,38,200,20,0,40,70,0
0,607,2,3,38,0,0,0,0,0,1
181,607,3,1,39,50,2,1,40,60,0
55,607,3,2,39,200,15,3,20,60,0
0,607,3,3,39,0,0,0,0,0,1
648,607,4,1,40,300,5,0,40,80,0
696,607,4,2,40,300,15,3,40,80,0
0,607,4,3,40,0,0,0,0,0,1
311,607,5,1,41,200,10,5,20,70,0
669,607,5,2,41,50,10,1,40,80,0
0,607,5,3,41,0,0,0,0,0,1
298,607,6,1,42,100,20,3,20,70,0
706,607,6,2,42,100,5,5,40,80,0
0,607,6,3,42,0,0,0,0,0,1
203,608,1,1,43,200,2,3,40,60,0
408,608,1,2,43,300,5,0,40,70,0
0,608,1,3,43,0,0,0,0,0,1
666,608,2,1,44,100,5,1,40,80,0
88,608,2,2,44,300,5,0,30,60,0
0,608,2,3,44,0,0,0,0,0,1
94,608,3,1,45,100,15,0,30,60,0
265,608,3,2,45,50,5,1,20,70,0
0,608,3,3,45,0,0,0,0,0,1
354,608,4,1,46,100,15,1,30,70,0
314,608,4,2,46,100,15,5,20,70,0
0,608,4,3,46,0,0,0,0,0,1
279,608,5,1,47,200,20,1,20,70,0
454,608,5,2,47,100,15,3,40,70,0
0,608,5,3,47,0,0,0,0,0,1
27,608,6,1,48,200,5,1,20,60,0
353,608,6,2,48,50,15,1,30,70,0
0,608,6,3,48,0,0,0,0,0,1
1,609,1,1,49,50,2,0,20,60,0
256,609,1,2,49,300,15,0,20,70,0
0,609,1,3,49,0,0,0,0,0,1
156,609,2,1,50,300,15,5,30,60,0
517,609,2,2,50,50,20,1,20,80,0
0,609,2,3,50,0,0,0,0,0,1
39,609,3,1,51,200,20,1,20,60,0
46,609,3,2,51,100,5,3,20,60,0
0,609,3,3,51,0,0,0,0,0,1
590,609,4,1,52,100,10,1,30,80,0
144,609,4,2,52,300,2,5,30,60,0
0,609,4,3,52,0,0,0,0,0,1
160,609,5,1,53,300,20,5,30,60,0
131,609,5,2,53,200,10,3,30,60,0
0,609,5,3,53,0,0,0,0,0,1
236,609,6,1,54,300,15,5,40,60,0
296,609,6,2,54,300,15,3,20,70,0
0,609,6,3,54,0,0,0,0,0,1
64,610,1,1,55,300,2,5,20,60,0
704,610,1,2,55,300,2,5,40,80,0
0,610,1,3,55,0,0,0,0,0,1
289,610,2,1,56,50,10,3,20,70,0
243,610,2,2,56,200,2,0,20,70,0
0,610,2,3,56,0,0,0,0,0,1
263,610,3,1,57,200,2,1,20,70,0
294,610,3,2,57,100,15,3,20,70,0
0,610,3,3,57,0,0,0,0,0,1
412,610,4,1,58,300,10,0,40,70,0
675,610,4,2,58,200,15,1,40,80,0
0,610,4,3,58,0,0,0,0,0,1
490,610,5,1,59,100,10,0,20,80,0
516,610,5,2,59,300,15,1,20,80,0
0,610,5,3,59,0,0,0,0,0,1
263,610,6,1,60,200,2,1,20,70,0
113,610,6,2,60,50,15,1,30,60,0
0,610,6,3,60,0,0,0,0,0,1
665,611,1,1,61,50,5,1,40,80,0
235,611,1,2,61,200,15,5,40,60,0
0,611,1,3,61,0,0,0,0,0,1
12,611,2,1,62,300,10,0,20,60,0
310,611,2,2,62,100,10,5,20,70,0
0,611,2,3,62,0,0,0,0,0,1
304,611,3,1,63,300,2,5,20,70,0
678,611,3,2,63,100,20,1,40,80,0
0,611,3,3,63,0,0,0,0,0,1
137,611,4,1,64,50,20,3,30,60,0
623,611,4,2,64,200,2,5,30,80,0
0,611,4,3,64,0,0,0,0,0,1
542,611,5,1,65,100,2,5,20,80,0
619,611,5,2,65,200,20,3,30,80,0
0,611,5,3,65,0,0,0,0,0,1
625,611,6,1,66,50,5,5,30,80,0
250,611,6,2,66,100,10,0,20,70,0
0,611,6,3,66,0,0,0,0,0,1
575,612,1,1,67,200,15,0,30,80,0
129,612,1,2,67,50,10,3,30,60,0
0,612,1,3,67,0,0,0,0,0,1
145,612,2,1,68,50,5,5,30,60,0
359,612,2,2,68,200,20,1,30,70,0
0,612,2,3,68,0,0,0,0,0,1
501,612,3,1,69,50,2,1,20,80,0
670,612,3,2,69,100,10,1,40,80,0
0,612,3,3,69,0,0,0,0,0,1
128,612,4,1,70,300,5,3,30,60,0
622,612,4,2,70,100,2,5,30,80,0
0,612,4,3,70,0,0,0,0,0,1
79,612,5,1,71,200,20,5,20,60,0
432,612,5,2,71,300,10,1,40,70,0
0,612,5,3,71,0,0,0,0,0,1
56,612,6,1,72,300,15,3,20,60,0
151,612,6,2,72,200,10,5,30,60,0
0,612,6,3,72,0,0,0,0,0,1
321,613,1,1,73,50,2,0,30,70,0
15,613,1,2,73,200,15,0,20,60,0
0,613,1,3,73,0,0,0,0,0,1
541,613,2,1,74,50,2,5,20,80,0
193,613,2,2,74,50,15,1,40,60,0
0,613,2,3,74,0,0,0,0,0,1
67,613,3,1,75,200,5,5,20,60,0
238,613,3,2,75,100,20,5,40,60,0
0,613,3,3,75,0,0,0,0,0,1
228,613,4,1,76,300,5,5,40,60,0
649,613,4,2,76,50,10,0,40,80,0
0,613,4,3,76,0,0,0,0,0,1
342,613,5,1,77,100,2,1,30,70,0
644,613,5,2,77,300,2,0,40,80,0
0,613,5,3,77,0,0,0,0,0,1
409,613,6,1,78,50,10,0,40,70,0
360,613,6,2,78,300,20,1,30,70,0
0,613,6,3,78,0,0,0,0,0,1
268,614,1,1,79,300,5,1,20,70,0
138,614,1,2,79,100,20,3,30,60,0
0,614,1,3,79,0,0,0,0,0,1
652,614,2,1,80,300,10,0,40,80,0
294,614,2,2,80,100,15,3,20,70,0
0,614,2,3,80,0,0,0,0,0,1
704,614,3,1,81,300,2,5,40,80,0
261,614,3,2,81,50,2,1,20,70,0
0,614,3,3,81,0,0,0,0,0,1
616,614,4,1,82,300,15,3,30,80,0
362,614,4,2,82,100,2,3,30,70,0
0,614,4,3,82,0,0,0,0,0,1
350,614,5,1,83,100,10,1,30,70,0
21,614,5,2,83,50,2,1,20,60,0
0,614,5,3,83,0,0,0,0,0,1
480,614,6,1,84,300,20,5,40,70,0
131,614,6,2,84,200,10,3,30,60,0
0,614,6,3,84,0,0,0,0,0,1
329,615,1,1,85,50,10,0,30,70,0
602,615,1,2,85,100,2,3,30,80,0
0,615,1,3,85,0,0,0,0,0,1
219,615,2,1,86,200,20,3,40,60,0
64,615,2,2,86,300,2,5,20,60,0
0,615,2,3,86,0,0,0,0,0,1
445,615,3,1,87,50,5,3,40,70,0
119,615,3,2,87,200,20,1,30,60,0
0,615,3,3,87,0,0,0,0,0,1
488,615,4,1,88,300,5,0,20,80,0
552,615,4,2,88,300,10,5,20,80,0
0,615,4,3,88,0,0,0,0,0,1
333,615,5,1,89,50,15,0,30,70,0
353,615,5,2,89,50,15,1,30,70,0
0,615,5,3,89,0,0,0,0,0,1
96,615,6,1,90,300,15,0,30,60,0
360,615,6,2,90,300,20,1,30,70,0
0,615,6,3,90,0,0,0,0,0,1
143,616,1,1,91,200,2,5,30,60,0
548,616,1,2,91,300,5,5,20,80,0
0,616,1,3,91,0,0,0,0,0,1
507,616,2,1,92,200,5,1,20,80,0
510,616,2,2,92,100,10,1,20,80,0
0,616,2,3,92,0,0,0,0,0,1
321,616,3,1,93,50,2,0,30,70,0
400,616,3,2,93,300,20,5,30,70,0
0,616,3,3,93,0,0,0,0,0,1
188,616,4,1,94,300,5,1,40,60,0
269,616,4,2,94,50,10,1,20,70,0
0,616,4,3,94,0,0,0,0,0,1
50,616,5,1,95,100,10,3,20,60,0
427,616,5,2,95,200,5,1,40,70,0
0,616,5,3,95,0,0,0,0,0,1
249,616,6,1,96,50,10,0,20,70,0
655,616,6,2,96,200,15,0,40,80,0
0,616,6,3,96,0,0,0,0,0,1
410,617,1,1,97,100,10,0,40,70,0
467,617,1,2,97,200,5,5,40,70,0
0,617,1,3,97,0,0,0,0,0,1
584,617,2,1,98,300,2,1,30,80,0
97,617,2,2,98,50,20,0,30,60,0
0,617,2,3,98,0,0,0,0,0,1
627,617,3,1,99,200,5,5,30,80,0
297,617,3,2,99,50,20,3,20,70,0
0,617,3,3,99,0,0,0,0,0,1
366,617,4,1,100,100,5,3,30,70,0
585,617,4,2,100,50,5,1,30,80,0
0,617,4,3,100,0,0,0,0,0,1
47,617,5,1,101,200,5,3,20,60,0
567,617,5,2,101,200,5,0,30,80,0
0,617,5,3,101,0,0,0,0,0,1
702,617,6,1,102,100,2,5,40,80,0
345,617,6,2,102,50,5,1,30,70,0
0,617,6,3,102,0,0,0,0,0,1
592,618,1,1,103,300,10,1,30,80,0
32,618,1,2,103,300,10,1,20,60,0
0,618,1,3,103,0,0,0,0,0,1
476,618,2,1,104,300,15,5,40,70,0
633,618,2,2,104,50,15,5,30,80,0
0,618,2,3,104,0,0,0,0,0,1
450,618,3,1,105,100,10,3,40,70,0
335,618,3,2,105,200,15,0,30,70,0
0,618,3,3,105,0,0,0,0,0,1
717,618,4,1,106,50,20,5,40,80,0
52,618,4,2,106,300,10,3,20,60,0
0,618,4,3,106,0,0,0,0,0,1
243,618,5,1,107,200,2,0,20,70,0
168,618,5,2,107,300,5,0,40,60,0
0,618,5,3,107,0,0,0,0,0,1
393,618,6,1,108,50,15,5,30,70,0
20,618,6,2,108,300,20,0,20,60,0
0,618,6,3,108,0,0,0,0,0,1
84,619,1,1,109,300,2,0,30,60,0
407,619,1,2,109,200,5,0,40,70,0
0,619,1,3,109,0,0,0,0,0,1
486,619,2,1,110,100,5,0,20,80,0
591,619,2,2,110,200,10,1,30,80,0
0,619,2,3,110,0,0,0,0,0,1
363,619,3,1,111,200,2,3,30,70,0
303,619,3,2,111,200,2,5,20,70,0
0,619,3,3,111,0,0,0,0,0,1
57,619,4,1,112,50,20,3,20,60,0
186,619,4,2,112,100,5,1,40,60,0
0,619,4,3,112,0,0,0,0,0,1
528,619,5,1,113,300,5,3,20,80,0
132,619,5,2,113,300,10,3,30,60,0
0,619,5,3,113,0,0,0,0,0,1
580,619,6,1,114,300,20,0,30,80,0
142,619,6,2,114,100,2,5,30,60,0
0,619,6,3,114,0,0,0,0,0,1
24,620,1,1,115,300,2,1,20,60,0
405,620,1,2,115,50,5,0,40,70,0
0,620,1,3,115,0,0,0,0,0,1
294,620,2,1,116,100,15,3,20,70,0
677,620,2,2,116,50,20,1,40,80,0
0,620,2,3,116,0,0,0,0,0,1
625,620,3,1,117,50,5,5,30,80,0
76,620,3,2,117,300,15,5,20,60,0
0,620,3,3,117,0,0,0,0,0,1
366,620,4,1,118,100,5,3,30,70,0
576,620,4,2,118,300,15,0,30,80,0
0,620,4,3,118,0,0,0,0,0,1
499,620,5,1,119,200,20,0,20,80,0
186,620,5,2,119,100,5,1,40,60,0
0,620,5,3,119,0,0,0,0,0,1
414,620,6,1,120,100,15,0,40,70,0
367,620,6,2,120,200,5,3,30,70,0
0,620,6,3,120,0,0,0,0,0,1
456,621,1,1,121,300,15,3,40,70,0
57,621,1,2,121,50,20,3,20,60,0
0,621,1,3,121,0,0,0,0,0,1
102,621,2,1,122,100,2,1,30,60,0
396,621,2,2,122,300,15,5,30,70,0
0,621,2,3,122,0,0,0,0,0,1
656,621,3,1,123,300,15,0,40,80,0
76,621,3,2,123,300,15,5,20,60,0
0,621,3,3,123,0,0,0,0,0,1
435,621,4,1,124,200,15,1,40,70,0
379,621,4,2,124,200,20,3,30,70,0
0,621,4,3,124,0,0,0,0,0,1
154,621,5,1,125,100,15,5,30,60,0
495,621,5,2,125,200,15,0,20,80,0
0,621,5,3,125,0,0,0,0,0,1
202,621,6,1,126,100,2,3,40,60,0
546,621,6,2,126,100,5,5,20,80,0
0,621,6,3,126,0,0,0,0,0,1
351,622,1,1,127,200,10,1,30,70,0
695,622,1,2,127,200,15,3,40,80,0
0,622,1,3,127,0,0,0,0,0,1
62,622,2,1,128,100,2,5,20,60,0
14,622,2,2,128,100,15,0,20,60,0
0,622,2,3,128,0,0,0,0,0,1
379,622,3,1,129,200,20,3,30,70,0
106,622,3,2,129,100,5,1,30,60,0
0,622,3,3,129,0,0,0,0,0,1
250,622,4,1,130,100,10,0,20,70,0
482,622,4,2,130,100,2,0,20,80,0
0,622,4,3,130,0,0,0,0,0,1
149,622,5,1,131,50,10,5,30,60,0
79,622,5,2,131,200,20,5,20,60,0
0,622,5,3,131,0,0,0,0,0,1
713,622,6,1,132,50,15,5,40,80,0
459,622,6,2,132,200,20,3,40,70,0
0,622,6,3,132,0,0,0,0,0,1
628,623,1,1,133,300,5,5,30,80,0
106,623,1,2,133,100,5,1,30,60,0
0,623,1,3,133,0,0,0,0,0,1
379,623,2,1,134,200,20,3,30,70,0
150,623,2,2,134,100,10,5,30,60,0
0,623,2,3,134,0,0,0,0,0,1
494,623,3,1,135,100,15,0,20,80,0
537,623,3,2,135,50,20,3,20,80,0
0,623,3,3,135,0,0,0,0,0,1
606,623,4,1,136,100,5,3,30,80,0
17,623,4,2,136,50,20,0,20,60,0
0,623,4,3,136,0,0,0,0,0,1
172,623,5,1,137,300,10,0,40,60,0
560,623,5,2,137,300,20,5,20,80,0
0,623,5,3,137,0,0,0,0,0,1
503,623,6,1,138,200,2,1,20,80,0
613,623,6,2,138,50,15,3,30,80,0
0,623,6,3,138,0,0,0,0,0,1
239,624,1,1,139,200,20,5,40,60,0
70,624,1,2,139,100,10,5,20,60,0
0,624,1,3,139,0,0,0,0,0,1
220,624,2,1,140,300,20,3,40,60,0
683,624,2,2,140,200,2,3,40,80,0
0,624,2,3,140,0,0,0,0,0,1
402,624,3,1,141,100,2,0,40,70,0
632,624,3,2,141,300,10,5,30,80,0
0,624,3,3,141,0,0,0,0,0,1
247,624,4,1,142,200,5,0,20,70,0
476,624,4,2,142,300,15,5,40,70,0
0,624,4,3,142,0,0,0,0,0,1
258,624,5,1,143,100,20,0,20,70,0
128,624,5,2,143,300,5,3,30,60,0
0,624,5,3,143,0,0,0,0,0,1
293,624,6,1,144,50,15,3,20,70,0
147,624,6,2,144,200,5,5,30,60,0
0,624,6,3,144,0,0,0,0,0,1
155,625,1,1,145,200,15,5,30,60,0
101,625,1,2,145,50,2,1,30,60,0
0,625,1,3,145,0,0,0,0,0,1
228,625,2,1,146,300,5,5,40,60,0
671,625,2,2,146,200,10,1,40,80,0
0,625,2,3,146,0,0,0,0,0,1
130,625,3,1,147,100,10,3,30,60,0
499,625,3,2,147,200,20,0,20,80,0
0,625,3,3,147,0,0,0,0,0,1
544,625,4,1,148,300,2,5,20,80,0
25,625,4,2,148,50,5,1,20,60,0
0,625,4,3,148,0,0,0,0,0,1
663,625,5,1,149,200,2,1,40,80,0
485,625,5,2,149,50,5,0,20,80,0
0,625,5,3,149,0,0,0,0,0,1
437,625,6,1,150,50,20,1,40,70,0
136,625,6,2,150,300,15,3,30,60,0
0,625,6,3,150,0,0,0,0,0,1
302,626,1,1,151,100,2,5,20,70,0
189,626,1,2,151,50,10,1,40,60,0
0,626,1,3,151,0,0,0,0,0,1
691,626,2,1,152,200,10,3,40,80,0
717,626,2,2,152,50,20,5,40,80,0
0,626,2,3,152,0,0,0,0,0,1
377,626,3,1,153,50,20,3,30,70,0
624,626,3,2,153,300,2,5,30,80,0
0,626,3,3,153,0,0,0,0,0,1
657,626,4,1,154,50,20,0,40,80,0
287,626,4,2,154,200,5,3,20,70,0
0,626,4,3,154,0,0,0,0,0,1
706,626,5,1,155,100,5,5,40,80,0
150,626,5,2,155,100,10,5,30,60,0
0,626,5,3,155,0,0,0,0,0,1
537,626,6,1,156,50,20,3,20,80,0
456,626,6,2,156,300,15,3,40,70,0
0,626,6,3,156,0,0,0,0,0,1
185,627,1,1,157,50,5,1,40,60,0
228,627,1,2,157,300,5,5,40,60,0
0,627,1,3,157,0,0,0,0,0,1
600,627,2,1,158,300,20,1,30,80,0
706,627,2,2,158,100,5,5,40,80,0
0,627,2,3,158,0,0,0,0,0,1
491,627,3,1,159,200,10,0,20,80,0
500,627,3,2,159,300,20,0,20,80,0
0,627,3,3,159,0,0,0,0,0,1
691,627,4,1,160,200,10,3,40,80,0
67,627,4,2,160,200,5,5,20,60,0
0,627,4,3,160,0,0,0,0,0,1
73,627,5,1,161,50,15,5,20,60,0
449,627,5,2,161,50,10,3,40,70,0
0,627,5,3,161,0,0,0,0,0,1
467,627,6,1,162,200,5,5,40,70,0
425,627,6,2,162,50,5,1,40,70,0
0,627,6,3,162,0,0,0,0,0,1
494,628,1,1,163,100,15,0,20,80,0
600,628,1,2,163,300,20,1,30,80,0
0,628,1,3,163,0,0,0,0,0,1
366,628,2,1,164,100,5,3,30,70,0
670,628,2,2,164,100,10,1,40,80,0
0,628,2,3,164,0,0,0,0,0,1
655,628,3,1,165,200,15,0,40,80,0
675,628,3,2,165,200,15,1,40,80,0
0,628,3,3,165,0,0,0,0,0,1
407,628,4,1,166,200,5,0,40,70,0
636,628,4,2,166,300,15,5,30,80,0
0,628,4,3,166,0,0,0,0,0,1
561,628,5,1,167,50,2,0,30,80,0
227,628,5,2,167,200,5,5,40,60,0
0,628,5,3,167,0,0,0,0,0,1
527,628,6,1,168,200,5,3,20,80,0
277,628,6,2,168,50,20,1,20,70,0
0,628,6,3,168,0,0,0,0,0,1
366,629,1,1,169,100,5,3,30,70,0
337,629,1,2,169,50,20,0,30,70,0
0,629,1,3,169,0,0,0,0,0,1
536,629,2,1,170,300,15,3,20,80,0
343,629,2,2,170,200,2,1,30,70,0
0,629,2,3,170,0,0,0,0,0,1
437,629,3,1,171,50,20,1,40,70,0
76,629,3,2,171,300,15,5,20,60,0
0,629,3,3,171,0,0,0,0,0,1
379,629,4,1,172,200,20,3,30,70,0
199,629,4,2,172,200,20,1,40,60,0
0,629,4,3,172,0,0,0,0,0,1
146,629,5,1,173,100,5,5,30,60,0
581,629,5,2,173,50,2,1,30,80,0
0,629,5,3,173,0,0,0,0,0,1
711,629,6,1,174,200,10,5,40,80,0
252,629,6,2,174,300,10,0,20,70,0
0,629,6,3,174,0,0,0,0,0,1
639,630,1,1,175,200,20,5,30,80,0
319,630,1,2,175,200,20,5,20,70,0
0,630,1,3,175,0,0,0,0,0,1
656,630,2,1,176,300,15,0,40,80,0
471,630,2,2,176,200,10,5,40,70,0
0,630,2,3,176,0,0,0,0,0,1
689,630,3,1,177,50,10,3,40,80,0
111,630,3,2,177,200,10,1,30,60,0
0,630,3,3,177,0,0,0,0,0,1
110,630,4,1,178,100,10,1,30,60,0
437,630,4,2,178,50,20,1,40,70,0
0,630,4,3,178,0,0,0,0,0,1
512,630,5,1,179,300,10,1,20,80,0
502,630,5,2,179,100,2,1,20,80,0
0,630,5,3,179,0,0,0,0,0,1
224,630,6,1,180,300,2,5,40,60,0
186,630,6,2,180,100,5,1,40,60,0
0,630,6,3,180,0,0,0,0,0,1
691,631,1,1,181,200,10,3,40,80,0
187,631,1,2,181,200,5,1,40,60,0
0,631,1,3,181,0,0,0,0,0,1
703,631,2,1,182,200,2,5,40,80,0
707,631,2,2,182,200,5,5,40,80,0
0,631,2,3,182,0,0,0,0,0,1
708,631,3,1,183,300,5,5,40,80,0
559,631,3,2,183,200,20,5,20,80,0
0,631,3,3,183,0,0,0,0,0,1
359,631,4,1,184,200,20,1,30,70,0
397,631,4,2,184,50,20,5,30,70,0
0,631,4,3,184,0,0,0,0,0,1
470,631,5,1,185,100,10,5,40,70,0
114,631,5,2,185,100,15,1,30,60,0
0,631,5,3,185,0,0,0,0,0,1
439,631,6,1,186,200,20,1,40,70,0
600,631,6,2,186,300,20,1,30,80,0
0,631,6,3,186,0,0,0,0,0,1
236,632,1,1,187,300,15,5,40,60,0
393,632,1,2,187,50,15,5,30,70,0
0,632,1,3,187,0,0,0,0,0,1
145,632,2,1,188,50,5,5,30,60,0
479,632,2,2,188,200,20,5,40,70,0
0,632,2,3,188,0,0,0,0,0,1
349,632,3,1,189,50,10,1,30,70,0
86,632,3,2,189,100,5,0,30,60,0
0,632,3,3,189,0,0,0,0,0,1
705,632,4,1,190,50,5,5,40,80,0
306,632,4,2,190,100,5,5,20,70,0
0,632,4,3,190,0,0,0,0,0,1
654,632,5,1,191,100,15,0,40,80,0
666,632,5,2,191,100,5,1,40,80,0
0,632,5,3,191,0,0,0,0,0,1
457,632,6,1,192,50,20,3,40,70,0
608,632,6,2,192,300,5,3,30,80,0
0,632,6,3,192,0,0,0,0,0,1
32,633,1,1,193,300,10,1,20,60,0
292,633,1,2,193,300,10,3,20,70,0
0,633,1,3,193,0,0,0,0,0,1
183,633,2,1,194,200,2,1,40,60,0
540,633,2,2,194,300,20,3,20,80,0
0,633,2,3,194,0,0,0,0,0,1
525,633,3,1,195,50,5,3,20,80,0
524,633,3,2,195,300,2,3,20,80,0
0,633,3,3,195,0,0,0,0,0,1
673,633,4,1,196,50,15,1,40,80,0
547,633,4,2,196,200,5,5,20,80,0
0,633,4,3,196,0,0,0,0,0,1
178,633,5,1,197,100,20,0,40,60,0
352,633,5,2,197,300,10,1,30,70,0
0,633,5,3,197,0,0,0,0,0,1
465,633,6,1,198,50,5,5,40,70,0
440,633,6,2,198,300,20,1,40,70,0
0,633,6,3,198,0,0,0,0,0,1
671,634,1,1,199,200,10,1,40,80,0
454,634,1,2,199,100,15,3,40,70,0
0,634,1,3,199,0,0,0,0,0,1
611,634,2,1,200,200,10,3,30,80,0
32,634,2,2,200,300,10,1,20,60,0
0,634,2,3,200,0,0,0,0,0,1
475,634,3,1,201,200,15,5,40,70,0
156,634,3,2,201,300,15,5,30,60,0
0,634,3,3,201,0,0,0,0,0,1
642,634,4,1,202,100,2,0,40,80,0
657,634,4,2,202,50,20,0,40,80,0
0,634,4,3,202,0,0,0,0,0,1
333,634,5,1,203,50,15,0,30,70,0
504,634,5,2,203,300,2,1,20,80,0
0,634,5,3,203,0,0,0,0,0,1
160,634,6,1,204,300,20,5,30,60,0
717,634,6,2,204,50,20,5,40,80,0
0,634,6,3,204,0,0,0,0,0,1
489,635,1,1,205,50,10,0,20,80,0
377,635,1,2,205,50,20,3,30,70,0
0,635,1,3,205,0,0,0,0,0,1
681,635,2,1,206,50,2,3,40,80,0
238,635,2,2,206,100,20,5,40,60,0
0,635,2,3,206,0,0,0,0,0,1
525,635,3,1,207,50,5,3,20,80,0
289,635,3,2,207,50,10,3,20,70,0
0,635,3,3,207,0,0,0,0,0,1
70,635,4,1,208,100,10,5,20,60,0
265,635,4,2,208,50,5,1,20,70,0
0,635,4,3,208,0,0,0,0,0,1
668,635,5,1,209,300,5,1,40,80,0
106,635,5,2,209,100,5,1,30,60,0
0,635,5,3,209,0,0,0,0,0,1
455,635,6,1,210,200,15,3,40,70,0
256,635,6,2,210,300,15,0,20,70,0
0,635,6,3,210,0,0,0,0,0,1
576,636,1,1,211,300,15,0,30,80,0
