STARTED,IQ17_01,IQ17_02,IQ18,IQ18_04,IQ19,IQ19_06,IQ20,IQ20_06,IQ21,IQ21_01,IQ21_02,IQ21_03,IQ21_04,IQ21_05,IQ21_06,VG03,VG03_05,VG02,VG02_03,IN04,IN04_01,IN04_02,IN04_03,IN08,IN08_01,IN08_02,IN08_03,GI01_01,GI01_02,GI01_04,GI01_06,GI01_09,GI01_10,GC02_01,GC02_02,GC02_03,GC02_04,GC02_08,GC02_05,GC02_09,AT01_01,AT01_02,AT01_03,AT01_04,AT01_05,CN01_02,CN01_03,CN01_04,IC01_06,IC01_07,IC01_05,IC01_08,IC01_09,IC03_01,IC03_02,IC03_03,FI01_01,FI01_02,FI01_03,FI02_01,FI03_01,PI14,PI14_03,PI15,PI16,PI16_03,PI17,PI17_12,PI19,PI20,PI20_04,V107,V107_04,V109,V109_06,V110,V111,V111_05,V112_01,V106,V113,V113_07,V114,V115_01,V115_01a,V116,V202,V205,V205_04,V207,V207_06,V208,V209,V209_05,V210_01,V204,V211,V211_07,V212,V213_01,V213_01a,V214,V309,V301,V301_04,V304,V304_06,V305,V306,V306_05,V307_01,V302,V312,V312_07,V313,V314_01,V314_01a,V315,EQ02,EQ06,EQ07,EQ08,EQ09_01,EQ09_02,EQ09_03,EQ09_04,EQ09_05,EQ09_06,EQ10_01,EQ10_05,EQ10_06,EQ10_07,EQ10_08,EQ10_09,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,income,origin,PI21,check1,check2,check3,3checks,car_type,trial_name,charging
2021-02-17 13:55:57,5,5,4,OVO ,6,v2g and rolec unmanaged charger ,6,Retired ,3,2,2,1,1,1,2,3,,4,,2,2,2,1,1,1,1,2,5,5,4,5,1,1,5,1,4,1,-1,2,2,4,5,3,5,3,2,2,3,5,4,5,4,5,2,3,5,2,5,5,Access to cheaper greener off-peak electricity.  Ability to reduce peak demand on the grid.  Having the car ready for use when it’s required.  ,Unreliability of device. If it emerged it has a negative effect on battery ,1,,4,2,,9,,2,4,4,1,,2,,2,1,,6000,4,1,,1,40,1,1,1,1,,4,,2,2,,6000,4,1,,4,24,1,1,1,1,,6,13 years ,4,1,,1500,1,,,,,,1,1,4,1,1,2,2,2,2,2,2,5,4,4,5,1,4,12,4,69,21,48,3,7,17,21,17,18,30,84,88,18,55,25,166,245,87,83,27,8,37,16,5,59,,19,28,47,41,29,1332,,2021-02-17 14:19:52,1,0,33,33,0,0,0.94,6,6,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-17 14:19:13,4,4,4,Ovo,6,chargemaster type 2 and ovo v2g,5,,2,2,1,1,1,1,2,3,,4,,2,1,2,2,1,1,1,2,4,4,3,4,3,2,4,4,4,4,-1,4,3,4,4,4,4,4,1,1,1,5,4,5,3,-1,2,3,5,3,4,5,Credit,Cost of charger. ,1,,4,2,,2,,3,2,,2,,4,,1,1,,8000,4,1,,1,40,1,1,1,1,,4,,1,1,,10000,1,,,,,,1,,,,,,,,,,,,,,,,,1,5,1,1,-1,-1,1,1,1,-1,3,2,3,4,1,3,3,6,40,12,16,2,4,10,3,11,6,9,27,27,10,17,15,69,36,44,44,22,5,40,,,,,4,9,43,26,5,565,,2021-02-17 14:28:38,1,0,33,33,0,0,1.97,55,6,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-17 14:40:01,5,5,4,Ovo V2G Trial,5,,1,,1,2,1,1,1,1,1,3,,4,,3,2,2,2,1,1,1,2,5,5,1,5,1,5,4,5,5,4,-1,4,5,5,5,3,4,4,1,2,4,5,3,5,-1,5,3,4,5,3,5,5,,,1,,4,2,,2,,2,1,,1,,3,,1,1,,11000,4,1,,2,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,1,1,1,1,1,2,4,4,5,1,1,5,3,24,16,37,3,3,10,5,4,5,16,49,32,32,33,14,100,26,45,40,25,,,,,,,4,15,19,43,11,619,,2021-02-17 14:50:20,1,0,33,33,2,2,1.86,48,4,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-17 16:35:30,3,3,4,OVO,5,,1,,2,1,2,1,2,1,1,3,,-1,,1,1,1,2,1,1,1,2,4,5,1,2,1,2,3,5,5,1,-1,4,4,4,3,4,4,4,2,2,2,5,1,5,5,5,1,1,5,3,5,3,"Increased value of Solar production, and helping balance the grid.",Cost of home smart charger,1,,6,2,,9,,2,3,,1,,4,,2,1,,8000,4,1,,2,40,1,1,1,1,,4,,1,1,,8000,1,,,,,,1,2,4,Campervan ,-9,,-9,-9,,,-9,,,,,,-9,1,4,2,1,1,-1,1,1,-1,1,4,2,4,4,1,2,17,15,74,24,34,7,12,23,13,16,15,23,62,72,13,45,22,66,154,67,139,32,10,153,,20,32,,13,19,36,43,36,1208,,2021-02-17 16:57:17,1,0,33,33,8,8,0.88,3,1,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-18 11:44:31,5,5,4,Ovo / Kaluza,6,i have both a v2g charger and a smart charger but currently only one ev,1,,4,2,2,1,1,2,2,3,,4,,2,2,2,1,1,1,1,2,2,4,3,5,1,2,4,5,5,3,-1,3,3,5,5,4,4,-1,1,1,4,4,4,5,4,5,4,5,5,1,5,5,"The possibilities of aggregated demand side response, FFR etc that both supports the grid and provides some revenue to the customer that has invested in the technology ","Cost, lack of supporting vehicles and lack of commercial support from energy providers",2,,3,2,,-1,,2,2,,1,,3,,1,1,,9000,4,1,,1,30,1,1,1,1,,5,,1,1,,12000,1,,,,,,1,,,,,,,,,,,,,,,,,1,4,1,1,1,1,2,2,1,2,4,1,4,4,1,1,6,3,57,11,29,3,6,13,5,4,7,20,59,39,22,44,15,51,130,53,52,15,5,27,,,,,6,15,57,39,12,805,,2021-02-18 11:57:56,1,0,33,33,0,0,1.56,30,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-18 13:39:12,3,4,4,OVO V2G,6,v2g and polec charger,1,,2,2,2,1,1,1,1,5,6+ years Rolec and V2G 10 months,4,,3,2,2,2,3,2,2,2,4,5,1,5,2,3,5,5,5,5,-1,5,4,4,5,4,3,5,3,1,2,4,3,5,4,5,1,1,5,1,4,5,"Bi-directional charging, reduce carbon emissions by leveraging renewable sources at off-peak hours. 

","V2G should be attractive to customers and a standard for all EV users. It would help balance the grid load and should be provided at a subsidised rate instead of massive investment in the power generation. Additional investment is required in the grid ability to manage microgeneration from millions of V2G. 

A high cost to customers will be a deterrent. 
Ability to switch supplier with V2G charger i.e. software/platform should in interoperable. Better still open source.
Time of Use tariff or flexible tariff option ",1,,4,2,,-1,,3,2,,1,,5,,2,1,,7000,4,1,,1,28,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,-1,-1,-1,1,-1,-1,2,1,2,3,1,5,10,15,572,38,23,5,8,37,6,7,5,16,45,83,12,34,14,43,285,40,60,13,11,,,,,,7014,15,40,39,11,969,,2021-02-18 16:00:54,1,0,33,33,0,0,1.24,20,-1,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-18 19:04:44,1,3,4,Ovo,6,v2g and smart chargers,1,,1,2,1,1,1,1,1,2,,4,,3,2,2,2,1,1,1,2,5,5,1,5,4,3,4,5,5,3,-1,3,3,1,5,4,5,3,4,1,1,5,5,5,5,5,2,2,5,1,3,3,Reducing my electricity bill,Reliability. I have had three V2G chargers fail in under a year. ,2,,3,2,,10,,2,2,,2,,2,,1,1,,18000,4,1,,1,40,1,1,1,1,,4,,1,1,,18000,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,8,3,36,9,19,13,5,24,5,13,6,14,49,61,8,27,16,39,75,28,54,18,6,30,,,,,12,,,,8,586,,2021-02-18 19:14:30,1,0,33,33,0,0,1.61,32,6,smedia,,1.0,1.0,0.0,2.0,BEV,ovo_v2g,v2g
2021-02-18 21:04:39,5,5,4,OVO,6,1 v2g and 1 basic polar charger.,1,,3,2,1,1,1,2,2,5,"Over 4 years,  - Please note there is an error with text box for Q5 so answer is 3kw Polar, 7KW V2G",3,0,2,2,2,1,1,1,1,2,5,5,1,5,1,1,5,1,5,1,-1,2,1,1,5,5,5,3,1,1,1,2,4,5,3,3,3,4,5,5,5,5,"The financial reward, green benefits and benefits to the Grid.","Reliability, I am on 3rd V2G charger on 12 months. CCS also doesn't support V2G so EV choice is limited.",3,Suburban,3,2,,3,,2,2,,3,,3,,1,1,,22000,4,1,,1,64,1,1,1,1,,5,,1,2,,6000,2,,,,,,1,,,,,,,,,,,,,,,,,1,5,3,1,2,2,2,2,2,2,5,5,5,5,1,5,2,2,53,95,41,3,6,23,13,9,6,32,48,61,9,33,14,83,84,44,64,17,5,45,,,,,5,16,25,40,13,814,,2021-02-18 21:19:30,1,0,33,33,0,0,1.44,34,6,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-19 12:16:18,5,5,4,"Project Sciurus, OVO",5,,3,,2,2,1,1,1,2,1,3,,3,6,2,2,2,1,3,2,2,2,5,4,2,4,4,2,3,3,4,1,-1,4,4,1,3,2,4,1,3,4,4,3,4,5,4,4,2,3,4,2,4,4,"Avoid the use of peak electricity, maybe even V2H. ","Lack of suitable offers, both in terms of affordable chargers and appropriate tariffs. ",2,,3,2,,11,,2,1,,1,,4,,2,1,,10000,4,1,,1,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,-1,-1,-1,1,1,-1,2,3,4,4,1,4,3,6,39,19,21,3,7,7,8,5,5,15,49,36,9,31,13,30,78,33,39,17,,,,,,,6,30,32,29,9,579,,2021-02-19 12:25:57,1,0,33,33,0,0,1.75,40,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-19 15:40:47,5,5,4,Ovo v2g,5,,1,,2,2,1,1,1,2,1,2,,4,,2,2,2,1,1,1,1,2,5,5,4,4,4,2,3,5,5,3,-1,3,4,4,5,4,5,4,1,1,3,5,4,5,1,5,4,4,5,3,5,5,Making use of battery to help grid and get money for exports,"Technology failing, ",1,,3,2,,9,,2,2,,1,,2,,1,1,,4000,4,1,,1,40,1,1,1,1,,5,,3,1,,4000,1,,,,,,1,,,,,,,,,,,,,,,,,1,3,1,1,1,1,2,2,2,2,2,3,4,5,1,2,17,8,25,12,32,4,7,10,4,16,10,21,62,45,8,36,26,48,86,65,74,27,7,52,,,,,6,14,41,36,12,811,,2021-02-19 15:54:18,1,0,33,33,0,0,1.34,18,6,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-19 16:18:59,5,5,4,OVO / Kaluza,6,we have a standard 7kw type 2 charger and a separate v2g charger.,5,,4,2,2,1,1,2,2,5,We had our first EVSE installed in October 2014 when we got our first 24kWh Nissan Leaf,4,,2,2,2,1,1,1,1,2,5,4,3,5,1,1,5,5,3,5,-1,5,4,5,5,4,4,4,1,1,1,5,5,5,5,5,5,5,5,3,5,5,"We do use V2G and were anxious to do so because of the opportunity to help the national grid, be more environmentally friendly, and perhaps save some money.","None for us personally.  We can see that some people might not be able to have a V2G charger due to parking restrictions, living in a flat or terraced house, etc.

Electricity companies not proving the software/data backup/accounting to use the system effectively.

Cost of installation; we are on a trial where all the costs were paid for us.  Had we had to pay for our installation, we doubt we could have afforded it.  Please see the video of our installation at https://youtu.be/-h_5QHUOQ1Q",1,,5,1,,12,"LTCL, ALCM, AMusLCM, Cert Ed.",2,2,,1,,3,,1,1,,9000,4,7,"At home, constantly plugged in 24/7 unless we are using the vehicle, because of being on V2G.  Your next question does not take V2G users into account!",5,62,1,1,1,1,,6,Since new - august 2008,4,1,,250,1,,,,,,1,,,,,,,,,,,,,,,,,1,5,1,1,1,1,1,1,1,1,5,3,5,4,1,1,18,13,75,76,46,9,12,20,11,10,13,27,93,92,19,41,36,104,884,127,69,167,9,74,,,,,9,23,69,69,30,1286,,2021-02-19 16:56:24,1,0,33,33,0,0,0.75,1,3,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-20 17:39:48,5,5,4,OVO V2G,6,pod point 7kw tethered (dumb) and v2g,1,,3,2,2,1,1,1,2,5,"3 years for the Pod Point, 1 year for the V2G",4,,2,2,2,1,1,1,1,2,5,5,2,5,1,1,5,5,5,2,-1,1,3,2,5,-1,4,5,1,1,2,4,5,5,4,4,2,4,5,2,5,5,Cost savings/the ability to make money and being able to power just my house (rather than necessarily the grid as well) from the vehicle. ,High fixed rate tariffs and excessive charging losses. ,1,,2,2,,12,Postgraduate Diploma,1,1,,1,,4,,1,1,,10000,4,1,,1,40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,-1,-1,-1,1,1,1,4,4,4,4,1,2,12,10,82,63,34,4,8,28,16,25,22,23,143,93,12,65,18,73,173,127,64,19,,,,,,,11,24,102,51,26,1283,,2021-02-20 18:01:56,1,0,33,33,0,0,0.86,4,4,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
